Frame,Hand,Landmark,X,Y,Z
23,Left,15,0.23838841915130615,0.45643624663352966,-0.04505668208003044
23,Left,16,0.24130532145500183,0.3951389193534851,-0.05939178913831711
23,Left,17,0.19671717286109924,0.6825228929519653,-0.02786617912352085
23,Left,18,0.15861579775810242,0.6165363192558289,-0.04548831656575203
23,Left,19,0.13321298360824585,0.5706796050071716,-0.057971421629190445
23,Left,20,0.112418994307518,0.5271956920623779,-0.06617066264152527
24,Left,0,0.2648938000202179,0.9596498012542725,4.4490278128250793e-07
24,Left,1,0.3389590382575989,0.8987695574760437,-0.016779311001300812
24,Left,2,0.3903409540653229,0.7888336181640625,-0.0173308327794075
24,Left,3,0.4177830219268799,0.7058795094490051,-0.01905979961156845
24,Left,4,0.4428546130657196,0.6490551829338074,-0.0199823509901762
24,Left,5,0.3355950117111206,0.6479930281639099,0.0038946992717683315
24,Left,6,0.37099725008010864,0.5502058267593384,-0.009591353125870228
24,Left,7,0.39516016840934753,0.4915724992752075,-0.02478800341486931
24,Left,8,0.41407710313796997,0.4451483488082886,-0.03620564192533493
24,Left,9,0.28570038080215454,0.631514847278595,-0.0028462086338549852
24,Left,10,0.29251062870025635,0.5099066495895386,-0.010533327236771584
24,Left,11,0.3003324270248413,0.43334996700286865,-0.02336093969643116
24,Left,12,0.30511435866355896,0.37302395701408386,-0.03383558616042137
24,Left,13,0.23881329596042633,0.6443969011306763,-0.014368717558681965
24,Left,14,0.23421570658683777,0.5300228595733643,-0.02648702636361122
24,Left,15,0.2350625842809677,0.45578688383102417,-0.044787947088479996
24,Left,16,0.23715810477733612,0.39350926876068115,-0.05921138450503349
24,Left,17,0.1946251094341278,0.6845228672027588,-0.028179172426462173
24,Left,18,0.15617427229881287,0.6182990074157715,-0.04574757441878319
24,Left,19,0.12967774271965027,0.5716156959533691,-0.05821014940738678
24,Left,20,0.10743027925491333,0.5268926620483398,-0.06651473045349121
25,Left,0,0.26354482769966125,0.9583531618118286,4.4342382921058743e-07
25,Left,1,0.33763042092323303,0.8948164582252502,-0.014603877440094948
25,Left,2,0.3876369297504425,0.7823784947395325,-0.0143257025629282
25,Left,3,0.41356509923934937,0.7003130912780762,-0.015565706416964531
